Region,Date,Confirmed,Deaths,Recovered
Anhui,2020-01-22,1.0,0.0,0.0
Beijing,2020-01-22,14.0,0.0,0.0
Chongqing,2020-01-22,6.0,0.0,0.0
Fujian,2020-01-22,1.0,0.0,0.0
Gansu,2020-01-22,0.0,0.0,0.0
Guangdong,2020-01-22,26.0,0.0,0.0
Guangxi,2020-01-22,2.0,0.0,0.0
Guizhou,2020-01-22,1.0,0.0,0.0
Hainan,2020-01-22,4.0,0.0,0.0
Hebei,2020-01-22,1.0,0.0,0.0
Heilongjiang,2020-01-22,0.0,0.0,0.0
Henan,2020-01-22,5.0,0.0,0.0
Hong Kong,2020-01-22,0.0,0.0,0.0
Hubei,2020-01-22,444.0,17.0,28.0
Hunan,2020-01-22,4.0,0.0,0.0
Inner Mongolia,2020-01-22,0.0,0.0,0.0
Jiangsu,2020-01-22,1.0,0.0,0.0
Jiangxi,2020-01-22,2.0,0.0,0.0
Jilin,2020-01-22,0.0,0.0,0.0
Liaoning,2020-01-22,2.0,0.0,0.0
Macau,2020-01-22,1.0,0.0,0.0
Ningxia,2020-01-22,1.0,0.0,0.0
Qinghai,2020-01-22,0.0,0.0,0.0
Shaanxi,2020-01-22,0.0,0.0,0.0
Shandong,2020-01-22,2.0,0.0,0.0
Shanghai,2020-01-22,9.0,0.0,0.0
Shanxi,2020-01-22,1.0,0.0,0.0
Sichuan,2020-01-22,5.0,0.0,0.0
Taiwan,2020-01-22,1.0,0.0,0.0
Tianjin,2020-01-22,4.0,0.0,0.0
Tibet,2020-01-22,0.0,0.0,0.0
Washington,2020-01-22,1.0,0.0,0.0
Xinjiang,2020-01-22,0.0,0.0,0.0
Yunnan,2020-01-22,1.0,0.0,0.0
Zhejiang,2020-01-22,10.0,0.0,0.0
Japan,2020-01-22,2.0,0.0,0.0
Thailand,2020-01-22,2.0,0.0,0.0
South Korea,2020-01-22,1.0,0.0,0.0
Anhui,2020-01-23,9.0,0.0,0.0
Beijing,2020-01-23,22.0,0.0,0.0
Chongqing,2020-01-23,9.0,0.0,0.0
Fujian,2020-01-23,5.0,0.0,0.0
Gansu,2020-01-23,2.0,0.0,0.0
Guangdong,2020-01-23,32.0,0.0,2.0
Guangxi,2020-01-23,5.0,0.0,0.0
Guizhou,2020-01-23,3.0,0.0,0.0
Hainan,2020-01-23,5.0,0.0,0.0
Hebei,2020-01-23,1.0,1.0,0.0
Heilongjiang,2020-01-23,2.0,0.0,0.0
Henan,2020-01-23,5.0,0.0,0.0
Hong Kong,2020-01-23,2.0,0.0,0.0
Hubei,2020-01-23,444.0,17.0,28.0
Hunan,2020-01-23,9.0,0.0,0.0
Inner Mongolia,2020-01-23,0.0,0.0,0.0
Jiangsu,2020-01-23,5.0,0.0,0.0
Jiangxi,2020-01-23,7.0,0.0,0.0
Jilin,2020-01-23,1.0,0.0,0.0
Liaoning,2020-01-23,3.0,0.0,0.0
Macau,2020-01-23,2.0,0.0,0.0
Ningxia,2020-01-23,1.0,0.0,0.0
Qinghai,2020-01-23,0.0,0.0,0.0
Shaanxi,2020-01-23,3.0,0.0,0.0
Shandong,2020-01-23,6.0,0.0,0.0
Shanghai,2020-01-23,16.0,0.0,0.0
Shanxi,2020-01-23,1.0,0.0,0.0
Sichuan,2020-01-23,8.0,0.0,0.0
Taiwan,2020-01-23,1.0,0.0,0.0
Tianjin,2020-01-23,4.0,0.0,0.0
Tibet,2020-01-23,0.0,0.0,0.0
Washington,2020-01-23,1.0,0.0,0.0
Xinjiang,2020-01-23,2.0,0.0,0.0
Yunnan,2020-01-23,2.0,0.0,0.0
Zhejiang,2020-01-23,27.0,0.0,0.0
Japan,2020-01-23,1.0,0.0,0.0
Thailand,2020-01-23,3.0,0.0,0.0
South Korea,2020-01-23,1.0,0.0,0.0
Singapore,2020-01-23,1.0,0.0,0.0
Philippines,2020-01-23,0.0,0.0,0.0
Malaysia,2020-01-23,0.0,0.0,0.0
Vietnam,2020-01-23,2.0,0.0,0.0
Australia,2020-01-23,0.0,0.0,0.0
Mexico,2020-01-23,0.0,0.0,0.0
Brazil,2020-01-23,0.0,0.0,0.0
Colombia,2020-01-23,0.0,0.0,0.0
Hubei,2020-01-24,549.0,24.0,31.0
Guangdong,2020-01-24,53.0,0.0,2.0
Zhejiang,2020-01-24,43.0,0.0,1.0
Beijing,2020-01-24,36.0,0.0,1.0
Chongqing,2020-01-24,27.0,0.0,0.0
Hunan,2020-01-24,24.0,0.0,0.0
Guangxi,2020-01-24,23.0,0.0,0.0
Shanghai,2020-01-24,20.0,0.0,1.0
Jiangxi,2020-01-24,18.0,0.0,0.0
Sichuan,2020-01-24,15.0,0.0,0.0
